E0=3.228912	epsilon=0.030000
1.692000	0.538838
1.704000	0.541650
1.716000	0.544287
1.728000	0.546749
1.740000	0.549036
1.752000	0.551150
1.764000	0.553090
1.776000	0.554858
1.788000	0.556455
1.800000	0.557882
1.812000	0.559140
1.824000	0.560229
1.836000	0.561152
1.848000	0.561910
1.860000	0.562503
1.872000	0.562934
1.884000	0.563204
1.896000	0.563315
1.908000	0.563268
1.920000	0.563064
1.932000	0.562707
1.944000	0.562198
1.956000	0.561538
1.968000	0.560729
1.980000	0.559775
1.992000	0.558676
2.004000	0.557435
2.016000	0.556054
2.028000	0.554535
2.040000	0.552881
2.052000	0.551094
2.064000	0.549176
2.076000	0.547130
2.088000	0.544959
2.100000	0.542664
2.112000	0.540248
2.124000	0.537714
2.136000	0.535065
2.148000	0.532302
2.160000	0.529430
2.172000	0.526449
2.184000	0.523364
2.196000	0.520177
2.208000	0.516890
2.220000	0.513506
2.232000	0.510028
2.244000	0.506460
2.256000	0.502803
2.268000	0.499060
2.280000	0.495234
2.292000	0.491329
2.304000	0.487346
2.316000	0.483289
2.328000	0.479161
2.340000	0.474964
2.352000	0.470701
2.364000	0.466375
2.376000	0.461988
2.388000	0.457545
2.400000	0.453046
2.412000	0.448495
2.424000	0.443896
2.436000	0.439249
2.448000	0.434560
2.460000	0.429828
2.472000	0.425059
2.484000	0.420254
2.496000	0.415415
2.508000	0.410547
2.520000	0.405650
2.532000	0.400728
2.544000	0.395783
2.556000	0.390817
2.568000	0.385834
2.580000	0.380835
2.592000	0.375823
2.604000	0.370800
2.616000	0.365769
2.628000	0.360732
2.640000	0.355691
2.652000	0.350648
2.664000	0.345606
2.676000	0.340566
2.688000	0.335531
2.700000	0.330503
2.712000	0.325483
2.724000	0.320474
2.736000	0.315478
2.748000	0.310497
2.760000	0.305531
2.772000	0.300584
2.784000	0.295657
2.796000	0.290752
2.808000	0.285869
2.820000	0.281012
2.832000	0.276180
2.844000	0.271377
2.856000	0.266603
2.868000	0.261860
2.880000	0.257149
2.892000	0.252472
2.904000	0.247829
2.916000	0.243222
2.928000	0.238653
2.940000	0.234122
2.952000	0.229630
2.964000	0.225179
2.976000	0.220769
2.988000	0.216401
3.000000	0.212077
3.012000	0.207797
3.024000	0.203562
3.036000	0.199373
3.048000	0.195230
3.060000	0.191134
3.072000	0.187086
3.084000	0.183087
3.096000	0.179136
3.108000	0.175236
3.120000	0.171385
3.132000	0.167584
3.144000	0.163834
3.156000	0.160136
3.168000	0.156488
3.180000	0.152893
3.192000	0.149350
3.204000	0.145858
3.216000	0.142420
3.228000	0.139033
3.240000	0.135699
3.252000	0.132418
3.264000	0.129190
3.276000	0.126014
3.288000	0.122892
3.300000	0.119821
3.312000	0.116803
3.324000	0.113838
3.336000	0.110925
3.348000	0.108064
3.360000	0.105255
3.372000	0.102498
3.384000	0.099792
3.396000	0.097137
3.408000	0.094534
3.420000	0.091980
3.432000	0.089477
3.444000	0.087024
3.456000	0.084621
3.468000	0.082266
3.480000	0.079961
3.492000	0.077703
3.504000	0.075493
3.516000	0.073331
3.528000	0.071216
3.540000	0.069146
3.552000	0.067123
3.564000	0.065145
3.576000	0.063212
3.588000	0.061324
3.600000	0.059479
3.612000	0.057677
3.624000	0.055918
3.636000	0.054201
3.648000	0.052525
3.660000	0.050891
3.672000	0.049296
3.684000	0.047741
3.696000	0.046226
3.708000	0.044748
3.720000	0.043309
3.732000	0.041907
3.744000	0.040541
3.756000	0.039211
3.768000	0.037917
3.780000	0.036657
3.792000	0.035432
3.804000	0.034240
3.816000	0.033081
3.828000	0.031954
3.840000	0.030859
3.852000	0.029794
3.864000	0.028760
3.876000	0.027756
3.888000	0.026781
3.900000	0.025834
3.912000	0.024916
3.924000	0.024024
3.936000	0.023160
3.948000	0.022321
3.960000	0.021508
3.972000	0.020720
3.984000	0.019957
3.996000	0.019217
4.008000	0.018500
4.020000	0.017807
4.032000	0.017135
4.044000	0.016485
4.056000	0.015856
4.068000	0.015247
4.080000	0.014659
4.092000	0.014090
4.104000	0.013540
4.116000	0.013009
4.128000	0.012495
4.140000	0.011999
4.152000	0.011520
4.164000	0.011058
4.176000	0.010611
4.188000	0.010181
4.200000	0.009765
4.212000	0.009365
4.224000	0.008979
4.236000	0.008606
4.248000	0.008247
