E0=1.626748	epsilon=0.010000
0.000000	0.000688
0.012000	-0.007572
0.024000	-0.015832
0.036000	-0.024087
0.048000	-0.032337
0.060000	-0.040579
0.072000	-0.048811
0.084000	-0.057033
0.096000	-0.065241
0.108000	-0.073433
0.120000	-0.081609
0.132000	-0.089765
0.144000	-0.097901
0.156000	-0.106013
0.168000	-0.114101
0.180000	-0.122162
0.192000	-0.130195
0.204000	-0.138197
0.216000	-0.146167
0.228000	-0.154104
0.240000	-0.162004
0.252000	-0.169867
0.264000	-0.177690
0.276000	-0.185473
0.288000	-0.193212
0.300000	-0.200906
0.312000	-0.208555
0.324000	-0.216155
0.336000	-0.223705
0.348000	-0.231204
0.360000	-0.238649
0.372000	-0.246040
0.384000	-0.253375
0.396000	-0.260651
0.408000	-0.267868
0.420000	-0.275023
0.432000	-0.282116
0.444000	-0.289145
0.456000	-0.296108
0.468000	-0.303004
0.480000	-0.309832
0.492000	-0.316589
0.504000	-0.323275
0.516000	-0.329889
0.528000	-0.336428
0.540000	-0.342892
0.552000	-0.349279
0.564000	-0.355588
0.576000	-0.361818
0.588000	-0.367967
0.600000	-0.374035
0.612000	-0.380021
0.624000	-0.385922
0.636000	-0.391739
0.648000	-0.397469
0.660000	-0.403113
0.672000	-0.408668
0.684000	-0.414135
0.696000	-0.419511
0.708000	-0.424797
0.720000	-0.429991
0.732000	-0.435093
0.744000	-0.440101
0.756000	-0.445015
0.768000	-0.449834
0.780000	-0.454557
0.792000	-0.459185
0.804000	-0.463715
0.816000	-0.468147
0.828000	-0.472482
0.840000	-0.476718
0.852000	-0.480854
0.864000	-0.484891
0.876000	-0.488827
0.888000	-0.492663
0.900000	-0.496398
0.912000	-0.500032
0.924000	-0.503563
0.936000	-0.506993
0.948000	-0.510321
0.960000	-0.513546
0.972000	-0.516668
0.984000	-0.519688
0.996000	-0.522605
1.008000	-0.525418
1.020000	-0.528129
1.032000	-0.530736
1.044000	-0.533240
1.056000	-0.535641
1.068000	-0.537939
1.080000	-0.540134
1.092000	-0.542227
1.104000	-0.544216
1.116000	-0.546103
1.128000	-0.547888
1.140000	-0.549571
1.152000	-0.551152
1.164000	-0.552632
1.176000	-0.554010
1.188000	-0.555288
1.200000	-0.556465
1.212000	-0.557543
1.224000	-0.558521
1.236000	-0.559400
1.248000	-0.560181
1.260000	-0.560864
1.272000	-0.561449
1.284000	-0.561938
1.296000	-0.562331
